Name,Quantity,Component
"KEYPAD1",1," Keypad 4x4"
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"Rpot1",1,"1 kΩ Potentiometer"
"R1, R3, R4",3,"220 Ω Resistor"
"D1",1,"Red LED"
"D2",1,"Green LED"
"PIEZO1",1," Piezo"
"SERVO1",1,"Positional Micro Servo"
