Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"Rpot1",1,"10 kΩ Potentiometer"
"R1",1,"220 Ω Resistor"
"PIEZO1",1," Piezo"
"R2",1,"330 Ω Resistor"
"R4",1,"220 Ω Resistor"
"D2",1,"Red LED"
"DIST1",1," Ultrasonic Distance Sensor"
